name,description,price,specifications,stock_level,warehouse_location,category_id,subcategory_id,image_data
Body Lotion,A hydrating and moisturizing lotion for the body,15.99,"{""skinBenefits"": [""Hydrating""], ""ingredients"": [""Aloe Vera"", ""Shea Butter"", ""Vitamin E""], ""texture"": ""Cream"", ""volume"": ""200ml""}",120,Aisle 5 Shelf B,5,19,C:/Users/joudy/Desktop/FALL_2024/EECE503M/Project/503m_project/product_images/bodylotion.jfif
Cleanser,A gentle cleanser for daily use,9.99,"{""skinType"": [""Normal"", ""Oily""], ""ingredients"": [""Salicylic Acid"", ""Tea Tree Oil""], ""purpose"": [""Deep cleansing""], ""texture"": ""Foam"", ""volume"": ""150ml""}",150,Aisle 2 Shelf A,1,1,C:/Users/joudy/Desktop/FALL_2024/EECE503M/Project/503m_project/product_images/cleanser.jfif
Collagen,A beauty supplement for skin elasticity and hydration,24.99,"{""type"": ""Capsules"", ""keyNutrients"": [""Collagen"", ""Vitamin E""], ""purpose"": [""Improve skin elasticity""], ""servingSize"": ""30-day supply""}",80,Aisle 9 Shelf C,10,39,C:/Users/joudy/Desktop/FALL_2024/EECE503M/Project/503m_project/product_images/collagen.jfif
Scrubs,An exfoliating body scrub for smoother skin,13.5,"{""skinBenefits"": [""Exfoliating""], ""ingredients"": [""Sea Salt"", ""Coconut Oil""], ""texture"": ""Scrub"", ""volume"": ""250ml""}",75,Aisle 5 Shelf C,5,20,C:/Users/joudy/Desktop/FALL_2024/EECE503M/Project/503m_project/product_images/scrubs.jfif
Shampoo,A nourishing shampoo for daily use,10.99,"{""hairType"": [""Straight""], ""purpose"": [""Hydration""], ""ingredients"": [""Argan Oil""], ""volume"": ""500ml""}",90,Aisle 3 Shelf A,3,11,C:/Users/joudy/Desktop/FALL_2024/EECE503M/Project/503m_project/product_images/shampoo.jfif
Cologne,A refreshing and light fragrance,45.5,"{""fragranceFamily"": ""Citrus"", ""concentration"": ""Eau de Cologne (EDC)"", ""notes"": {""top"": ""Lemon"", ""middle"": ""Orange Blossom"", ""base"": ""Musk""}, ""volume"": ""100ml""}",60,Aisle 4 Shelf E,4,17,C:/Users/joudy/Desktop/FALL_2024/EECE503M/Project/503m_project/product_images/cologne.jfif
Foundation,A medium coverage foundation for an even skin tone,29.99,"{""shade"": ""Ivory"", ""finish"": ""Matte"", ""coverage"": ""Medium"", ""waterproof"": true, ""ingredients"": [""Paraben-free""], ""volumeWeight"": ""30ml""}",100,Aisle 3 Shelf D,2,6,C:/Users/joudy/Desktop/FALL_2024/EECE503M/Project/503m_project/product_images/foundation.jfif
Hairdryer,A powerful hairdryer with adjustable heat settings,39.99,"{""material"": ""Synthetic"", ""heatSettings"": 3, ""size"": ""Full-size"", ""powerWattage"": ""2000W""}",50,Aisle 7 Shelf F,8,34,C:/Users/joudy/Desktop/FALL_2024/EECE503M/Project/503m_project/product_images/hairdryer.jfif
Lipstick,A bold long lasting lipstick,12.99,"{""shade"": ""Red"", ""finish"": ""Matte"", ""coverage"": ""Full"", ""waterproof"": false, ""ingredients"": [""Cruelty-free""], ""volumeWeight"": ""3g""}",200,Aisle 3 Shelf B,2,8,C:/Users/joudy/Desktop/FALL_2024/EECE503M/Project/503m_project/product_images/lipstick.jfif
Mask,A deep hydrating mask for all skin types,16.99,"{""skinType"": [""Dry"", ""Combination""], ""ingredients"": [""Hyaluronic Acid"", ""Chamomile""], ""purpose"": [""Hydration""], ""texture"": ""Gel"", ""volume"": ""75ml""}",110,Aisle 2 Shelf C,1,5,C:/Users/joudy/Desktop/FALL_2024/EECE503M/Project/503m_project/product_images/mask.jfif
Nail Polish,A long lasting nail polish with a glossy finish,5.99,"{""nailPolish"": {""finish"": ""Glossy"", ""color"": ""Pink""}, ""ingredients"": [""Non-toxic""]}",300,Aisle 6 Shelf A,6,23,C:/Users/joudy/Desktop/FALL_2024/EECE503M/Project/503m_project/product_images/nailpolish.jfif
Perfume,A floral fragrance with a sophisticated touch,70,"{""fragranceFamily"": ""Floral"", ""concentration"": ""Eau de Parfum (EDP)"", ""notes"": {""top"": ""Rose"", ""middle"": ""Jasmine"", ""base"": ""Sandalwood""}, ""volume"": ""50ml""}",40,Aisle 4 Shelf B,4,16,C:/Users/joudy/Desktop/FALL_2024/EECE503M/Project/503m_project/product_images/perfume.jfif
